iata_code;full_name;area
ABV;Abuja;AFRICA
ACC;Accra;AFRICA
ADD;Addis Ababa;AFRICA
AGP;Malaga;EUROPE
AKL;Auckland;ASIA/PACIFIC
ALG;Algiers;AFRICA
AMS;Amsterdam;EUROPE
ANK;Ankara;EUROPE
ATH;Athens;EUROPE
ATL;Atlanta;NORTH ATLANTIC
BCN;Barcelona;EUROPE
BEG;Belgrade;EUROPE
BEL;Brussels;EUROPE
BER;Berlin;EUROPE
BEY;Beirut;MIDDLE EAST
BGI;Barbados;SOUTH ATLANTIC
BGO;Bergen;EUROPE
BHX;Birmingham;EUROPE
BIO;Bilbao;EUROPE
BJS;Peking;ASIA/PACIFIC
BKK;Bangkok;ASIA/PACIFIC
BLQ;Bologna;EUROPE
BNE;Brisbane;ASIA/PACIFIC
BOG;Bogota;SOUTH ATLANTIC
BOM;Mumbai;ASIA/PACIFIC
BOS;Boston;NORTH ATLANTIC
BRE;Bremen;EUROPE
BRU;Brussels;EUROPE
BUD;Budapest;EUROPE
BUE;Buenos Aires;SOUTH ATLANTIC
BUH;Bucharest;EUROPE
CGN;Cologne;EUROPE
CHI;Chicago;NORTH ATLANTIC
CLJ;Cluj;EUROPE
CLT;Charlotte;NORTH ATLANTIC
CPH;Copenhagen;EUROPE
CPT;Cape Town;AFRICA
CUN;Cancun;SOUTH ATLANTIC
DBV;Dubrovnik;EUROPE
DEL;Delhi;ASIA/PACIFIC
DEN;Denver;NORTH ATLANTIC
DRS;Dresden;EUROPE
DUB;Dublin;EUROPE
DUR;Durban;AFRICA
DUS;Duesseldorf;EUROPE
DXB;Dubai;MIDDLE EAST
EAP;Basel;EUROPE
EDI;Edinburgh;EUROPE
FAO;Faro;EUROPE
FLR;Florence;EUROPE
FMO;M�nster;EUROPE
FRA;Frankfurt;EUROPE
GDN;Danzig;EUROPE
GOA;Genoa;EUROPE
GOT;Gothenburg;EUROPE
GRZ;Graz;EUROPE
GUA;Guatemala;SOUTH ATLANTIC
GVA;Geneva;EUROPE
HAJ;Hannover;EUROPE
HAM;Hamburg;EUROPE
HAV;Havana;SOUTH ATLANTIC
HEL;Helsinki;EUROPE
HKG;Hong Kong;ASIA/PACIFIC
HKT;Phuket;ASIA/PACIFIC
HOU;Houston;NORTH ATLANTIC
IBZ;Ibiza;EUROPE
IEV;Kiev;EUROPE
INN;Innsbruck;EUROPE
IST;Istanbul;EUROPE
IZM;Izmir;ASIA/PACIFIC
JNB;Johannesburg;AFRICA
JTR;Santorini;EUROPE
KLU;Klagenfurt;EUROPE
KRK;Krakow;EUROPE
KUL;Kuala Lumpur;ASIA/PACIFIC
LAS;Las Vegas;NORTH ATLANTIC
LAX;Los Angeles;NORTH ATLANTIC
LCA;Larnaka;EUROPE
LEJ;Leipzig;EUROPE
LIM;Lima;SOUTH ATLANTIC
LIS;Lisbon;EUROPE
LON;London;EUROPE
LOS;Lagos;AFRICA
LUX;Luxemburg;EUROPE
LYS;Lyon;EUROPE
MAA;Chennai;ASIA/PACIFIC
MAD;Madrid;EUROPE
MAN;Manchester;EUROPE
MEL;Melbourne;ASIA/PACIFIC
MEX;Mexico;SOUTH ATLANTIC
MIA;Miami;NORTH ATLANTIC
MIL;Milan;EUROPE
MLA;Malta;EUROPE
MLE;Male;ASIA/PACIFIC
MOW;Moscow;EUROPE
MRS;Marseille;EUROPE
MRU;Mauritius;AFRICA
MUC;Munich;EUROPE
NAP;Naples;EUROPE
NBO;Nairobi;AFRICA
NCE;Nice;EUROPE
NGO;Ch?bu;ASIA/PACIFIC
NKG;Nanjing;ASIA/PACIFIC
NUE;Nuremberg;EUROPE
NYC;New York;NORTH ATLANTIC
OPO;Porto;EUROPE
ORL;Orlando;NORTH ATLANTIC
OSL;Oslo;EUROPE
PAR;Paris;EUROPE
PHL;Philadelphia;NORTH ATLANTIC
PMI;Palma de Mallorca;EUROPE
PMO;Palermo;EUROPE
POZ;Poznan;EUROPE
PRG;Prague;EUROPE
PSA;Pisa;EUROPE
PTY;Panama;SOUTH ATLANTIC
PUJ;Punta Cana;SOUTH ATLANTIC
RAK;Marrakech;AFRICA
RIO;Rio de Janeiro;SOUTH ATLANTIC
RIX;Riga;EUROPE
ROM;Rome;EUROPE
RTM;Rotterdam;EUROPE
SAO;Sao Paulo;SOUTH ATLANTIC
SCL;Santiago de Chile;SOUTH ATLANTIC
SEA;Seattle;NORTH ATLANTIC
SEL;Seoul;ASIA/PACIFIC
SFO;San Francisco;NORTH ATLANTIC
SHA;Shanghai;ASIA/PACIFIC
SHE;Shenyang;ASIA/PACIFIC
SIN;Singapore;ASIA/PACIFIC
SNU;Santa Clara;NORTH ATLANTIC
SJO;San Jos�;SOUTH ATLANTIC
SOF;Sofia;EUROPE
SPU;Split;EUROPE
STO;Stockholm;EUROPE
STR;Stuttgart;EUROPE
SZG;Salzburg;EUROPE
THR;Tehran;MIDDLE EAST
TLL;Tallinn;EUROPE
TLS;Toulouse;EUROPE
TLV;Tel Aviv;MIDDLE EAST
TPA;Tampa;NORTH ATLANTIC
TUN;Tunis;AFRICA
TYO;Tokyo;ASIA/PACIFIC
UIO;Quito;SOUTH ATLANTIC
VCE;Venice;EUROPE
VIE;Vienna;EUROPE
VLC;Valencia;EUROPE
VNO;Vilnius;EUROPE
VRN;Verona;EUROPE
WAS;Washington;NORTH ATLANTIC
WAW;Warsaw;EUROPE
WDH;Windhoek;AFRICA
YMQ;Montreal;NORTH ATLANTIC
YTO;Toronto;NORTH ATLANTIC
YVR;Vancouver;NORTH ATLANTIC
YYC;Calgary;NORTH ATLANTIC
ZAG;Zagreb;EUROPE
ZRH;Zurich;EUROPE
